COD,GENERO,PESO,ALTURA
3465,M,78.62,1.68
8203,M,75.95,1.84
5577,M,57.29,1.73
7621,M,88.64,1.84
9568,M,65.98,1.73
53,M,70.42,1.79
9288,F,66.83,1.68
8208,M,65.25,1.8
319,F,78.13,1.69
4140,F,63.1,1.85
1302,F,62.8,1.66
387,M,90.07,1.83
3456,M,91.55,1.87
8997,F,68.77,1.62
5493,M,91.25,1.61
7835,F,70.57,1.6
4801,M,78.6,1.84
2306,F,54.96,1.83
7574,F,57.37,1.73
6747,F,69.96,1.89
2883,M,85.94,1.86
8749,F,67.88,1.69
3225,F,58.85,1.84
3603,M,75.18,1.8
3482,F,69.68,1.62
3916,M,59.54,1.77
4523,F,73.58,1.53
2693,M,79.98,1.76
2099,F,56.61,1.74
7219,M,60.0,1.79
4495,F,64.38,1.8
5742,M,83.46,1.75
8771,F,59.0,1.46
4856,M,75.89,1.83
5372,F,66.89,1.63
6474,M,91.73,1.81
9618,F,77.75,1.64
1746,F,66.82,1.66
9024,F,62.62,1.65
8175,F,59.16,1.54
9247,M,60.67,1.77
3376,M,86.99,1.82
4699,F,55.76,1.5
9159,M,84.85,1.74
2916,F,61.66,1.66
6473,F,66.47,1.69
5316,F,58.79,1.86
1433,M,72.85,1.82
5369,F,59.68,1.88
2414,M,69.27,1.95
9202,M,67.48,1.73
2656,F,69.34,1.5
6139,F,63.77,1.71
5140,F,50.51,1.69
9593,F,71.63,1.58
4747,F,63.01,1.48
893,M,84.97,1.77
2600,F,61.32,1.69
785,F,48.12,1.75
4319,M,55.71,1.87
1732,F,75.88,1.95
1975,F,65.8,1.78
8301,F,70.83,1.88
7537,M,73.18,1.73
5806,M,58.88,1.75
86,F,74.69,1.78
727,M,75.76,1.74
9429,F,63.83,1.63
1019,F,59.15,1.62
4478,M,81.16,1.74
1679,M,85.11,1.74
3810,M,77.91,1.69
7201,M,78.56,1.86
1421,F,71.64,1.64
7182,M,77.0,1.78
5067,F,55.8,1.85
3731,F,70.43,1.64
4620,F,65.12,1.55
3717,M,92.24,1.8
2784,M,77.66,1.6
6416,F,62.14,1.57
6679,M,91.79,1.67
6564,M,84.78,1.75
9335,F,57.93,1.57
9937,F,71.64,1.56
7221,F,63.67,1.66
919,M,72.55,1.77
2775,F,63.0,1.67
1768,F,57.79,1.7
7479,F,66.4,1.51
6552,M,67.66,1.71
7632,M,72.68,2.01
9132,F,59.67,1.45
5378,F,77.86,1.66
1220,F,65.91,1.46
9607,F,60.11,1.72
6004,M,61.11,1.56
6798,M,83.31,1.71
4139,F,55.43,1.73
7476,F,61.77,1.63
5783,F,38.69,1.78
1250,F,71.12,1.85
9422,F,64.92,1.46
2671,F,74.89,1.77
5089,M,72.85,2.01
7661,M,67.77,1.62
8803,F,61.6,1.77
5437,M,82.22,1.89
6354,M,73.67,1.97
7371,M,57.79,1.84
61,M,73.23,1.72
7755,M,70.52,1.78
3126,M,74.79,1.9
8414,F,47.0,1.66
3414,M,77.82,1.75
8570,M,81.43,1.84
8158,M,85.18,1.72
6811,M,73.28,2.0
9524,F,61.45,1.61
8123,F,49.91,1.65
76,F,54.87,1.55
1493,M,70.95,1.69
5852,M,78.13,1.84
9339,M,86.85,1.83
2626,M,80.46,1.81
9954,M,64.81,1.87
6666,M,54.4,1.77
6662,F,64.97,1.65
5199,M,106.84,1.94
1757,F,64.23,1.58
9541,F,45.95,1.65
7081,M,74.85,1.89
7662,M,77.45,1.91
1044,M,76.24,1.7
6056,M,73.86,1.73
4004,F,59.74,1.58
3279,F,58.71,1.66
7457,M,61.32,1.87
6172,M,87.72,1.76
9011,M,56.26,1.98
3226,F,69.12,1.74
7929,F,67.04,1.59
7766,F,53.83,1.51
7747,M,85.03,1.63
7374,M,76.07,1.91
2611,M,95.49,1.84
7407,M,72.54,1.81
1142,F,61.51,1.88
3616,F,61.86,1.7
3063,M,54.08,1.66
9554,F,65.19,1.55
7300,F,65.44,1.82
6927,M,79.35,1.74
4148,M,71.71,1.65
6481,M,61.38,1.98
9837,F,61.53,1.78
4744,F,63.26,1.79
3448,F,59.92,1.62
901,F,71.75,1.74
5354,F,61.88,1.52
6566,F,52.96,1.48
3439,M,71.16,1.77
6346,M,79.76,1.78
6688,M,75.36,1.9
7333,M,65.83,1.87
323,F,72.36,1.82
2093,F,51.97,1.81
3448,F,73.52,1.78
630,M,82.81,1.79
9485,M,71.96,1.68
9085,F,62.04,1.93
4332,M,68.85,1.74
9250,F,54.77,1.74
5200,F,71.17,1.66
9744,M,69.59,1.91
9508,M,77.37,1.79
2627,M,66.98,1.69
4564,F,53.64,1.71
4383,F,57.72,1.51
6589,M,78.86,1.83
8295,M,73.22,1.88
5243,F,55.6,1.76
7785,M,79.89,1.69
665,M,72.6,1.73
187,F,59.35,1.79
6243,M,70.05,1.9
7691,M,60.03,1.81
5394,M,66.56,1.71
8927,M,80.41,1.69
481,M,93.9,2.02
3955,F,63.52,1.61
6932,M,72.71,1.83
4926,F,61.24,1.8
7262,M,91.63,1.64
6951,M,97.16,1.86
5394,F,57.42,1.56
6254,F,73.27,1.86
7906,F,52.54,1.68
9099,M,55.63,1.74
3070,M,73.26,1.85
281,F,62.24,1.65
6217,F,60.13,1.71
806,F,59.89,1.66
9112,M,73.53,1.68
7935,F,59.05,1.71
8389,F,68.26,1.6
1298,M,74.54,1.83
5068,M,83.48,1.71
5428,F,64.05,1.6
1449,M,74.75,1.87
8981,F,81.68,1.66
9566,M,84.99,1.76
8248,M,76.05,1.83
2247,M,64.59,1.93
1427,M,74.37,1.95
4574,F,57.42,1.73
3305,F,62.37,1.67
8747,M,92.78,1.71
8478,M,74.78,1.67
3275,M,69.42,2.06
5028,M,57.91,1.89
5506,M,76.81,1.81
6688,M,71.8,1.75
7723,M,56.43,1.78
